,Location
1178,Kilimani
1180,Peponi
1181,Muthangari
1182,Runda
1183,Westlands
1184,Langata
1185,Lavington
1186,Waiyaki
1187,Upper
1188,Kilimani
1189,Kileleshwa
1190,Muthaiga
1191,Riverside
1192,Westlands
1193,Lavington
1194,Karen
1195,Eden
1196,Kilimani
1197,Lower
1198,Kilimani
1199,Kileleshwa
1200,Rosslyn
1201,Lavington
1202,General
1203,Kilimani
1206,Lavington
1207,Kileleshwa
1208,Argwings
1209,Brookside
1210,Upper
1211,Muthaiga
1212,Nairobi
1213,Nyari
1214,Westlands
1215,Kileleshwa
1216,Kyuna
1217,Lavington
1218,Lavington
1219,Karen
1220,Spring
1221,Kiambu
1222,Karen
1223,Mombasa
1224,Mombasa
1225,Lavington
1226,Industrial
1227,Kileleshwa
1228,City
1230,Rhapta
1231,Runda
1232,General
1233,Ngong
1234,Mushroom
1235,Westlands
1236,Kilimani
1237,Westlands
1238,Kileleshwa
1240,Muthangari
1241,Spring
1242,Nairobi
1243,Lower
1244,Kilimani
1245,Greville
1246,Westlands
1247,Waiyaki
1248,Nyari
1249,Kilimani
1250,School
1251,Lavington
1252,Riverside
1253,Rhapta
1254,Westlands
1255,Mountain
1256,Brookside
1257,Parklands
1258,Kilimani
1259,Karen
1260,Kitisuru
1261,Waiyaki
1263,Lavington
1264,Thika
1265,Karen
1267,Riverside
1268,Westlands
1269,Muthithi
1270,Thika
1271,Kileleshwa
1272,Lavington
1273,Kiambu
1274,Muthaiga
1275,Kilimani
1276,Lavington
1277,Loresho
1278,Lavington
1279,Industrial
1280,Loresho
1281,@1600$
1282,Loresho
1283,Kiambu
1284,Near
1285,Kilimani
1286,Kileleshwa
1287,Kileleshwa
1288,Riverside
1289,Lavington
1291,Kilimani
1292,Lavington
1293,Karen
1294,Lower
1296,Westlands
1297,Bogani
1298,Lavington
1299,Kitisuru
1300,Lavington
1301,Riverside
1302,Kileleshwa
1303,Bongani
1304,Valley
1305,Karen
1306,Mombasa
1307,Kanjata
1309,Kitisuru
1310,Westland
1311,Thigiri
1312,Muthangari
1313,Runda
1314,Riverside
1315,Kilimani
1316,Westlands
1317,Thigiri
1318,Kiambu
1319,Lavington
1320,Kileleshwa
1321,Dennis
1322,Lavington
1323,Karen
1324,Lavington
1325,Brookside
1327,Rhapta
1328,Riverside
1329,Runda
1330,Thome
1331,Rosslyn
1332,Peponi
1333,Lavington
1334,Keiyo
1335,Lower
1336,Valley
1337,Runda
1338,Valley
1339,Westlands
1340,Runda
1341,Lavington
1342,Off
1343,Kilimani
1344,Riara
1346,Muthaiga
1347,Riverside
1348,Lavington
1349,Industrial
1350,Lavington
1351,Kilimani
1352,Riverside
1354,Lavington
1355,Kileleshwa
1356,Lavington
1357,Karen
1358,Karen
1359,General
1360,Mbaazi
1361,Lavington
1362,Nyari
1363,Kingara
1364,Kileleshwa
1365,Runda
1366,Parklands
1368,General
1370,Kiambu
1371,Kiambu
1372,Parklands
1373,Spring
1374,New
1375,Runda
1376,Fourways
1377,Westlands
1378,Gigiri
1379,Kileleshwa
1380,Ruaraka
1381,Westlands
1382,Kileleshwa
1383,Westlands
1384,Gigiri
1385,Kileleshwa
1386,Westlands
1387,Thika
1388,Spring
1389,Valley
1390,Dennis
1391,Runda
1393,Off
1394,Ring
1395,Kirawa
1396,Spring
1397,Runda
1398,Grevillea
1399,Kitisuru
1400,Lavington
1401,Loresho
1402,Runda
1403,Runda
1404,Lavington
1405,Lavington
1406,Baba
1407,Kabasiran
1408,Runda
1409,Upper
1410,Kileleshwa
1412,Westlands
1413,Lavington
1414,Kilimani
1415,Hatheru
1416,Westlands
1417,Kiambu
1418,Westlands
1419,Kiambu
1420,Lower
1421,General
1422,Kilimani
1423,Kilimani
1424,Brookside
1425,Westlands
1426,Kileleshwa
1427,Milimani
1428,Spring
1429,Kileleshwa
1430,Riverside
1431,Riverside
1432,Parklands
1433,Lavington
1434,Kilimani
1435,Industrial
1436,Riverside
1437,Rhapta
1438,Kileleshwa
1439,Kugeria
1440,Riverside
1441,Ngong
1442,Kileleshwa
1443,Kileleshwa
1444,Mombasa
1445,Runda
1446,Thika
1447,Nyari
1448,Lavington
1449,Kitisuru
1450,Lavington
1451,Westlands
1452,Two
1453,Spring
1454,Westlands
1455,Kitisuru
1457,Kilimani
1458,Lavington
1459,Lavington
1460,Valley
1461,Waiyaki
1462,Runda
1463,Lavington
1464,Industrial
1465,Brookside
1466,Rhapta
1467,Runda
1468,Karen
1469,Rhapta
1470,Lavington
1471,Runda
1472,Kitisuru
1473,James
1474,Riara
1475,Muthaiga
1476,Mountain
1477,Lavington
1478,Westlands
1479,Rhapta
1480,Westlands
1481,Lavington
1482,Fourways
1483,Lavington
1484,Westlands
1485,Ngong
1486,Riverside
1487,Lavington
1488,Westlands
1489,Muthaiga
1490,Riverside
1491,Lantana
1492,Kyuna
1493,Kiambu
1494,Parklands
1495,Fourways
1496,Miotoni
1497,Rosslyn
1498,Kilimani
1499,Industrial
1500,Spring
1501,Kilimani
1502,Bomas
1503,Lower
1504,Mbaazi
1505,Karen
1506,General
1507,Kiambu
1508,Vihiga
1509,Kilimani
1510,Riverside
1511,Industrial
1512,Karen
1513,Riverside
1515,Hurlingham
1516,Parklands
1517,Mpaka
1518,Westlands
1519,Upper
1520,Mugoiri
1521,Kitisuru
1522,Westlands
1523,Brookside
1524,Lavington
1525,Runda
1526,Runda
1528,Parklands
1529,Spring
1530,Embakasi
1531,Kilimani
1532,Riverside
1533,Runda
1534,Kileleshwa
1535,Mombasa
1536,Lavington
1537,Daggorett
1538,Lavington
1539,Nyari
1540,Riverside
1541,Kileleshwa
1542,Kileleshwa
1543,Naivasha
1544,Westlands
1545,Kilimani
1546,Rosslyn
1547,Kitale
1548,Kitisuru
1549,Off
1550,Ndege
1552,Kiambu
1553,Lower
1554,Riverside
1555,Lavington
1556,Kileleshwa
1557,Housing
1558,Kileleshwa
1559,Waiyaki
1560,State
1561,City
1562,Nyari
1563,Ruaraka
1564,Runda
1566,Muthaiga
1567,Thika
1568,Church
1569,Riverside
1570,Waiyaki
1571,Karen
1572,Kilimani
1573,Westlands
1574,Lavington
1575,Kilimani
1577,Windy
1578,Rosslyn
1579,1
1580,Yaya
1581,Kitisuru
1582,Runda
1583,Tree
1584,Westlands
1585,Kilimani
1586,Runda
1587,Kileleshwa
1588,Thigiri
1589,Lower
1590,Riverside
1591,Loresho
1592,Miotoni
1593,Lavington
1594,Lavington
1595,Near
1596,Mombasa
1597,Bomas
1598,Nyari
1599,Kilimani
1600,Runda
1601,Kyuna
1602,Runda
1603,Parklands
1604,Loresho
1605,Brookside
1606,Lower
1607,Mukoma
1608,Riverside
1609,Karen
1610,Thika
1611,Runda
1613,Runda
1614,Gigiri
1615,Lavington
1616,Riverside
1617,Red
1618,Off
1619,Kilimani
1620,Nyari
1621,Westlands
1622,Kitisuru
1623,Thigiri
1624,Riverside
1625,Westlands
1626,Kileleshwa
1627,Rosslyn
1628,Off
1629,Riverside
1630,Kangundo
1631,Kiambu
1632,Ngong
1633,Kileleshwa
1634,Waiyaki
1635,Madaraka
1636,Ridgeways
1637,Mombasa
1638,Kampala
1639,Kabarsiran
1640,Runda
1641,Westlands
1642,City
1643,Lavington
1644,Thika
1645,Ring
1646,Kyuna
1648,Loresho
1649,Westlands
1650,Lavighton
1651,Rosslyn
1652,Chalbi
1653,Riverside
1654,Lavington
1655,Kitisuru
1656,Mawenesi
1658,Kiambu
1659,Kiambu
1660,Donyo
1661,Kyu
1662,Westlands
1663,Kilimani
1664,General
1665,Thika
1666,Brookside
1667,Westland
1668,Kilimani
1669,Karen
1670,Kiambu
1671,Rhapta
1672,Westlands
1673,Runda
1674,Ngong
1675,Rosslyn
1676,Riverside
1677,Kiambu
